Glottocode,Concepticon_ID,dataset_ID,ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Colex_Key
nyat1246,51,tls,Nyaturuwil-1262_sore-1,,Nyaturuwil,1262_sore,nkhomee,nkhomee,nyat1246_nkhomee
waor1240,861,ids,255-21-180-1,,255,21-180,dẽ apæ̃-te ã-gã,dẽ apæ̃-te ã-gã,waor1240_dẽ apæ̃-te ã-gã
apma1241,1337,transnewguineaorg,ap-ma-pig-1,238648,ap-ma,pig,wushi̠ndrre mȧ̠,wushi̠ndrre mȧ̠,apma1241_wushi̠ndrre mȧ̠
madh1244,683,bowernpny,MathiMathi-230_personhumanbeing-1,,MathiMathi,230_personhumanbeing,wotungi,wotungi,madh1244_wotungi
urax1238,2101,ids,514-4-750-1,,514,4-750,вебкіес,вебкІес,urax1238_вебкіес
zigu1242,700,tls,Zigua-319_carry-1,,Zigua,319_carry,kw-etwika,kw-etwika,zigu1242_kw-etwika
zigu1242,2396,tls,Zigua-1344_strikeknock-1,,Zigua,1344_strikeknock,ku-gong'onda,ku-gong'onda,zigu1242_ku-gong'onda
anam1248,1807,transnewguineaorg,anamgura-afternoon-1,194051,anamgura,afternoon,ɣʉndir,ɣʉndir,anam1248_ɣʉndir
nung1282,2635,suntb,Anong-977_theytwo-1,229833,Anong,977_theytwo,ŋ̩³¹ɳɯŋ⁵⁵si³¹,ŋ̩³¹ɳɯŋ⁵⁵si³¹,nung1282_ŋ̩³¹ɳɯŋ⁵⁵si³¹
konk1267,1313,diacl,49800-121_moon-1,,49800,121_moon,māsu,māsu,konk1267_māsu
zhou1234,2087,allenbai,Zhoucheng-471_clsfordropofwater-1,,Zhoucheng,471_clsfordropofwater,to³³,to³³,zhou1234_to³³
nyan1301,674,bowernpny,Nyangumarta-204_mouth-1,,Nyangumarta,204_mouth,jawa,jawa,nyan1301_jawa
gira1247,1837,transnewguineaorg,girawa-vulva-1,121678,girawa,vulva,mina-,mina-,gira1247_mina-
tehu1242,1039,ids,310-15-550-1,,310,15-550,m'kˀē-,m'kˀē-,tehu1242_m'kˀē-
moer1240,634,zgraggenmadang,moere-116_meat-1,141432,moere,116_meat,wisa,wisa,moer1240_wisa
duna1248,1251,transnewguineaorg,duna-belly-1,1197,duna,belly,takane,takane,duna1248_takane
hyaa1239,2458,kraftchadic,Higighye-79_sweat-1,,Higighye,79_sweat,xwùli,xwùli,hyaa1239_xwùli
mbab1239,924,bowernpny,Mbabaram-320_vegetablefood-1,,Mbabaram,320_vegetablefood,ñjil,ñjil,mbab1239_ñjil
keoo1238,1443,lexirumah,keoo1238-to_walk-1,,keoo1238,to_walk,mbana,ᵐbana,keoo1238_mbana
slov1269,745,northeuralex,slk-315_shelf-2,,slk,315_shelf,polica,pɔɫit͡sa,slov1269_polica
bata1301,1441,diacl,24000-56_tofly-1,,24000,56_tofly,layug,layug,bata1301_layug
kekc1242,2009,wold,Qeqchi-193_thedog-1,,Qeqchi,193_thedog,tz’i’,tz’i’,kekc1242_tz’i’
maor1246,658,ids,236-1-750-3,,236,1-750,maraŋai,maraŋai,maor1246_maraŋai
slov1268,1303,northeuralex,slv-30_finger-1,,slv,30_finger,pŕst,pə˨rst,slov1268_pŕst
nunu1247,352,chenhmongmien,Nunu-730-1,,Nunu,730,tʰo³⁵,tʰo³⁵,nunu1247_tʰo³⁵
bahi1254,906,transnewguineaorg,bahinemo-tree-1,224806,bahinemo,tree,mi,mi,bahi1254_mi
zigu1242,1991,tls,Zigua-777_intestines-1,,Zigua,777_intestines,utumbo,utumbo,zigu1242_utumbo
hinu1240,1929,ids,42-17-242-2,,42,17-242,тіотіра,тІотІра,hinu1240_тіотіра
nucl1301,3006,northeuralex,tur-266_space-1,,tur,266_space,yer,jɛɾ,nucl1301_yer
