Colex_Key,dataset_ID,Form,Colex_IDs,Num_concepts,Concept_names,Semantic_field,Ontological_category
stan1295_Achsel,ids,Achsel,"{'1482', '1769'}",2,"['SHOULDER', 'AXLE']","['Motion', 'The body']","['Person/Thing', 'Person/Thing']"
stan1295_Alter,ids,Alter,"{'406', '1789'}",2,"['OLD MAN', 'AGE']","['Kinship', 'Time']","['Person/Thing', 'Person/Thing']"
stan1295_Base,ids,Base,"{'1272', '1643'}",2,"['AUNT', 'COUSIN']","['Kinship', 'Kinship']","['Person/Thing', 'Person/Thing']"
stan1295_Bauch,ids,Bauch,"{'2114', '819'}",2,"['BELLY OR STOMACH', 'STOMACH']","['The body', 'The body']","['Person/Thing', 'Person/Thing']"
stan1295_Berg,ids,Berg,"{'639', '2118'}",2,"['MOUNTAIN', 'MOUNTAIN OR HILL']","['The physical world', 'The physical world']","['Person/Thing', 'Person/Thing']"
stan1295_Blatt,ids,Blatt,"{'628', '1077'}",2,"['LEAF', 'WHEAT']","['Agriculture and vegetation', 'Agriculture and vegetation']","['Person/Thing', 'Person/Thing']"
stan1295_Bock,ids,Bock,"{'1502', '264'}",2,"['GOAT', 'HE-GOAT']","['Animals', 'Animals']","['Person/Thing', 'Person/Thing']"
stan1295_Boden,ids,Boden,"{'1632', '690', '1228'}",3,"['FLOOR', 'BOTTOM', 'EARTH (SOIL)']","['The house', 'The physical world', 'The physical world']","['Person/Thing', 'Person/Thing', 'Person/Thing']"
stan1295_Bogen,ids,Bogen,"{'876', '994'}",2,"['ARCH', 'BOW']","['The house', 'Warfare and hunting']","['Person/Thing', 'Person/Thing']"
stan1295_Brust,ids,Brust,"{'1592', '1402'}",2,"['CHEST', 'BREAST']","['The body', 'The body']","['Person/Thing', 'Person/Thing']"
stan1295_Dechsel,ids,Dechsel,"{'677', '290'}",2,"['AXE', 'ADZE']","['Basic actions and technology', 'Basic actions and technology']","['Person/Thing', 'Person/Thing']"
stan1295_Eber,ids,Eber,"{'1348', '3154'}",2,"['BOAR', 'WILD BOAR']","['Animals', 'Animals']","['Person/Thing', 'Person/Thing']"
stan1295_Ehefrau,ids,Ehefrau,"{'1199', '426'}",2,"['WIFE', 'MARRIED WOMAN']","['Kinship', 'Kinship']","['Person/Thing', 'Person/Thing']"
stan1295_Ehemann,ids,Ehemann,"{'1200', '424'}",2,"['HUSBAND', 'MARRIED MAN']","['Kinship', 'Kinship']","['Person/Thing', 'Person/Thing']"
stan1295_Ende,ids,Ende,"{'743', '742'}",2,"['END (OF TIME)', 'END (OF SPACE)']","['Spatial relations', 'Time']","['Person/Thing', 'Person/Thing']"
stan1295_Erde,ids,Erde,"{'1228', '626'}",2,"['EARTH (SOIL)', 'LAND']","['The physical world', 'The physical world']","['Person/Thing', 'Person/Thing']"
stan1295_Farbe,ids,Farbe,"{'1613', '647', '157'}",3,"['COLOR', 'PAINT (PIGMENTS)', 'DYE']","['Sense perception', 'Basic actions and technology', 'Clothing and grooming']","['Person/Thing', 'Person/Thing', 'Action/Process']"
stan1295_Feder,ids,Feder,"{'1201', '794'}",2,"['FEATHER', 'PEN']","['Speech and language', 'The body']","['Person/Thing', 'Person/Thing']"
stan1295_Feld,ids,Feld,"{'652', '212'}",2,"['PLAIN', 'FIELD']","['Agriculture and vegetation', 'The physical world']","['Person/Thing', 'Person/Thing']"
stan1295_Fell,ids,Fell,"{'763', '189', '629'}",3,"['SKIN', 'HAIR (BODY)', 'LEATHER']","['The body', 'The body', 'Clothing and grooming']","['Person/Thing', 'Person/Thing', 'Person/Thing']"
stan1295_Fels,ids,Fels,"{'2125', '857'}",2,"['STONE OR ROCK', 'STONE']","['The physical world', 'The physical world']","['Person/Thing', 'Person/Thing']"
stan1295_Flachs,ids,Flachs,"{'3462', '3315'}",2,"['FLAX OR LINEN', 'FLAX']","['Agriculture and vegetation', 'Agriculture and vegetation']","['Person/Thing', 'Person/Thing']"
stan1295_Fleisch,ids,Fleisch,"{'2615', '2259', '634'}",3,"['FLESH OR MEAT', 'FLESH', 'MEAT']","['The body', 'The body', 'Food and drink']","['Person/Thing', 'Person/Thing', 'Person/Thing']"
stan1295_Frau,ids,Frau,"{'962', '1199'}",2,"['WOMAN', 'WIFE']","['Kinship', 'Kinship']","['Person/Thing', 'Person/Thing']"
stan1295_Gabel,ids,Gabel,"{'1302', '337'}",2,"['FORK', 'PITCHFORK']","['Agriculture and vegetation', 'Food and drink']","['Person/Thing', 'Person/Thing']"
stan1295_Geist,ids,Geist,"{'811', '1562'}",2,"['SOUL', 'MIND']","['Cognition', 'Religion and belief']","['Person/Thing', 'Person/Thing']"
