ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,dataset_ID,Form_count
slk,Slovak,slov1269,Slovak,slk,Eurasia,48.545705,18.78479,Indo-European,northeuralex,1129.0
Suba,Suba,suba1238,,sxb,Africa,-0.95719,34.1033,Atlantic-Congo,tls,833.0
Ankwe,Ankwe,goem1240,,ank,Africa,8.74455,9.72453,Afro-Asiatic,kraftchadic,432.0
307,Nivaclé,niva1238,Nivaclé,cag,South America,-22.8557,-61.7606,Matacoan,ids,1556.0
waris,Waris,wari1266,Waris,wrs,Papunesia,-3.139,140.931,Border,transnewguineaorg,144.0
lama1277-minga,Mingar,ming1256,,lmj,,,,Austronesian,lexirumah,196.0
Zigua,Zigua,zigu1242,,,Africa,-5.61864,38.4114,Atlantic-Congo,tls,791.0
keoo1238,"Keo, Udiworowatu",keoo1238,,xxk,Papunesia,-8.8704,121.256,Austronesian,lexirumah,1976.0
bine-masingle,Bine (Masingle Dialect),masi1270,Masingle,bon,Papunesia,,,Eastern Trans-Fly,transnewguineaorg,152.0
isirawa,Isirawa,isir1237,Isirawa,srl,Papunesia,-1.88775,138.595,Greater Kwerba,transnewguineaorg,12.0
29200,Tagalog,taga1270,Tagalog,tgl,Papunesia,14.06,121.747,Austronesian,diacl,107.0
422,Langja Buyang,emab1235,E'ma Buyang,yzg,Eurasia,23.604572,106.030277,Tai-Kadai,ids,1153.0
Yangzhou,Yangzhou,yang1306,Yangzhou Mandarin,,,32.4171449,119.209227,Sino-Tibetan,beidasinitic,835.0
Muinane,Muinane,muin1242,Muinane,bmr,South America,-0.8652,-72.4249,Boran,hubercolumbian,535.0
pamosu,pamosu,pamo1253,Pamosu,hih,Papunesia,-4.69874,145.288,Nuclear Trans New Guinea,zgraggenmadang,1208.0
santaana,Santa Ana,sant1414,Santa Ana (Solomon Islands),,Papunesia,,,Austronesian,tryonsolomon,315.0
Sonjo,Sonjo,temi1247,,soz,Africa,-2.19303,35.8035,Atlantic-Congo,tls,781.0
