ID,Name,Concepticon_ID,Concepticon_Gloss,dataset_ID,Ontological_Category,Semantic_Field
368_tail,tail,1220,TAIL,satterthwaitetb,Person/Thing,The body
1152_toshout,to shout,715,SHOUT,wold,Action/Process,Speech and language
to-stand-up,to stand up,570,STAND UP,transnewguineaorg,Action/Process,Motion
514_thering,the ring,1374,RING,wold,Person/Thing,Clothing and grooming
1156_scrapegrace,"scrape, grace",1767,SCRAPE,tls,Action/Process,Food and drink
741_towalk,to walk,1443,WALK,wold,Action/Process,Motion
137_sheanuttree,shea nut tree,454,SHEA NUT TREE,kraftchadic,Person/Thing,Agriculture and vegetation
188_why,why?,1270,WHY,mitterhoferbena,Other,Cognition
64_daytime,daytime,1225,DAY (NOT NIGHT),yanglalo,Person/Thing,Time
297_excrement,excrement,675,FAECES (EXCREMENT),yanglalo,Person/Thing,The body
333,shin,186,SHIN,bantubvd,Person/Thing,The body
841_black,black,163,BLACK,suntb,Property,Sense perception
691,sew (up),1457,SEW,chenhmongmien,Action/Process,Clothing and grooming
850_fatmeat,fat (meat),323,FAT (ORGANIC SUBSTANCE),suntb,Person/Thing,The body
169_vomit,vomit,1278,VOMIT,halenepal,Action/Process,The body
269_throat,THROAT,1346,THROAT,hantganbangime,Person/Thing,The body
and,and,1577,AND,lexirumah,Other,Cognition
176,"good, beautiful",1035,GOOD,bantubvd,Property,Emotions and values
eye,eye,1248,EYE,lexirumah,Person/Thing,The body
211_swallowvt,swallow (vt),897,SWALLOW,naganorgyalrongic,Action/Process,Food and drink
486_onefirst,one (first),728,FIRST,castrosui,Other,Quantity
ear,ear,1247,EAR,transnewguineaorg,Person/Thing,The body
1399_thesinewortendon,the sinew or tendon,1137,TENDON,wold,Person/Thing,The body
432_king,king,1508,KING,northeuralex,Person/Thing,Social and political relations
to_pull,pull,1455,PULL,lexirumah,Action/Process,Basic actions and technology
345_sour,sour,1906,SOUR,satterthwaitetb,Property,Sense perception
snot,snot,208,NASAL MUCUS (SNOT),transnewguineaorg,Person/Thing,The body
860_knock,knock,2396,KNOCK,northeuralex,Action/Process,Motion
189,mosquito,1509,MOSQUITO,chenhmongmien,Person/Thing,Animals
992_why,why?,1270,WHY,yanglalo,Other,Cognition
1487_upabove,"up, above",1741,ABOVE,tls,Other,Spatial relations
551_thebed,the bed,1663,BED,wold,Person/Thing,The house
380_skirt,skirt,1600,SKIRT,suntb,Person/Thing,Clothing and grooming
67_cave,cave,1155,CAVE,bowernpny,Person/Thing,The physical world
517_ripe,ripe,178,RIPE,northeuralex,Property,Food and drink
68_charcoal,charcoal,1188,CHARCOAL,bowernpny,Person/Thing,The physical world
58_medicine,medicine,1372,MEDICINE,mitterhoferbena,Person/Thing,The body
1520_washtakeabath,"wash, take a bath",1453,WASH,tls,Action/Process,Basic actions and technology
179_right,right,1725,CORRECT (RIGHT),sohartmannchin,Property,Emotions and values
635_thesugarcane,the sugar cane,146,SUGAR CANE,wold,Person/Thing,Agriculture and vegetation
120_hair,HAIR,1040,HAIR,hantganbangime,Person/Thing,The body
157,forest,420,FOREST,bantubvd,Person/Thing,The physical world
737_come,come,1446,COME,suntb,Action/Process,Motion
173_vegetable,vegetable,924,VEGETABLES,naganorgyalrongic,Person/Thing,Food and drink
194_horse,horse,615,HORSE,kraftchadic,Person/Thing,Animals
760_warm,warm,1232,WARM,beidasinitic,Property,Sense perception
324_far,far,1406,FAR,hubercolumbian,Property,Spatial relations
460_sgyou,² sG; you,1215,THOU,castrosui,Other,Kinship
160_elephant,elephant,1290,ELEPHANT,bodtkhobwa,Person/Thing,Animals
665_thinkv,think (v),2271,THINK,naganorgyalrongic,Action/Process,Cognition
173_wall,,933,WALL (OF HOUSE),allenbai,Person/Thing,The house
11-280,"harm, injure, damage",3195,DAMAGE OR INJURE,ids,Action/Process,Possession
177_tail,tail,1220,TAIL,suntb,Person/Thing,The body
205_daughter,daughter,1357,DAUGHTER,northeuralex,Person/Thing,Kinship
village,village,930,VILLAGE,lexirumah,Person/Thing,Social and political relations
811_red,red,156,RED,yanglalo,Property,Sense perception
145,cat,1208,CAT,chenhmongmien,Person/Thing,Animals
111_cotton,cotton,1850,COTTON,bodtkhobwa,Person/Thing,Clothing and grooming
303_throat,throat,1346,THROAT,bowernpny,Person/Thing,The body
15_beside,BESIDE,1816,BESIDE,hantganbangime,Other,Spatial relations
29_bird,bird,937,BIRD,satterthwaitetb,Person/Thing,Animals
245_far,far,1406,FAR,marrisonnaga,Property,Spatial relations
308,river,666,RIVER,bantubvd,Person/Thing,The physical world
603_sweep,sweep,230,SWEEP,beidasinitic,Action/Process,Basic actions and technology
586_forge,forge,288,FORGE,tls,Action/Process,Basic actions and technology
779_destroy,destroy,681,DESTROY,yanglalo,Action/Process,Possession
98_dry,dry,1398,DRY,halenepal,Property,Sense perception
721_hide,hide,602,HIDE (CONCEAL),tls,Action/Process,Spatial relations
147_ashes,ashes,646,ASH,tryonsolomon,Person/Thing,The physical world
253_dry,dry,1398,DRY,zgraggenmadang,Property,Sense perception
188_village,village,930,VILLAGE,zgraggenmadang,Person/Thing,Social and political relations
276_daughter,daughter,1357,DAUGHTER,castrosui,Person/Thing,Kinship
16_twenty,twenty,1710,TWENTY,kraftchadic,Number,Quantity
491_five,five,493,FIVE,castrosui,Number,Quantity
293,quarrel,1848,QUARREL,bantubvd,Person/Thing,Social and political relations
54_waterfall,waterfall,943,WATERFALL,hubercolumbian,Person/Thing,The physical world
187_send,send,1127,SEND,halenepal,Action/Process,Motion
229_river,river,666,RIVER,robinsonap,Person/Thing,The physical world
axe,axe,677,AXE,lexirumah,Person/Thing,Basic actions and technology
1266_souroffoodordrink,sour (of food or drink),1906,SOUR,tls,Property,Sense perception
144_down,down,1326,DOWN,bodtkhobwa,Other,Spatial relations
153,fly,1504,FLY (INSECT),bantubvd,Person/Thing,Animals
552_pigdomestic,pig (domestic),1337,PIG,marrisonnaga,Person/Thing,Animals
599_kill,kill,1417,KILL,beidasinitic,Action/Process,The body
102_smithing,smithing,288,FORGE,kraftchadic,Action/Process,Basic actions and technology
363_open,open,1156,OPEN,kraftchadic,Action/Process,Spatial relations
77_horse,horse,615,HORSE,yanglalo,Person/Thing,Animals
677_stand,stand,1442,STAND,northeuralex,Action/Process,Spatial relations
7-220,"door, gate",1567,DOOR,ids,Person/Thing,The house
318_carpentersadze,carpenter's adze,290,ADZE,tls,Person/Thing,Basic actions and technology
423,what,1236,WHAT,bantubvd,Other,Cognition
290_broomforsweeping,broom (for sweeping),245,BROOM,tls,Person/Thing,Basic actions and technology
to-carry,to carry,700,CARRY,transnewguineaorg,Action/Process,Motion
265_bow,bow,994,BOW,tls,Person/Thing,Warfare and hunting
1146_what,what,1236,WHAT,naganorgyalrongic,Other,Cognition
173_holeincloth,hole [in cloth],1667,HOLE,satterthwaitetb,Person/Thing,Spatial relations
957_new,new,1231,NEW,naganorgyalrongic,Property,Time
41_themoon,the moon,1313,MOON,wold,Person/Thing,The physical world
2-941,we (inclusive),1131,WE (INCLUSIVE),ids,Other,Kinship
949_new,new,1231,NEW,wold,Property,Time
454_divorce,divorce,1134,DIVORCE,tls,Person/Thing,Kinship
root,root,670,ROOT,transnewguineaorg,Person/Thing,Agriculture and vegetation
641_thou,thou,1215,THOU,northeuralex,Other,Kinship
day-after-tomorrow,day after tomorrow,1179,DAY AFTER TOMORROW,transnewguineaorg,Other,Time
181_fly,fly,1504,FLY (INSECT),kraftchadic,Person/Thing,Animals
44,bitter,887,BITTER,bantubvd,Property,Sense perception
211_longbow,longbow,994,BOW,castrosui,Person/Thing,Warfare and hunting
457_todie,to die,1494,DIE,castrosui,Action/Process,The body
434_border,border,2546,BORDER,northeuralex,Person/Thing,Social and political relations
313_swiftfastquick,"swift, fast, quick",1631,FAST,logos,Property,Time
216,kill,1417,KILL,bantubvd,Action/Process,The body
273_towash,to wash,1453,WASH,abrahammonpa,Action/Process,Basic actions and technology
78_horn,,1393,HORN (ANATOMY),diacl,Person/Thing,The body
472_swift,swift,1631,FAST,naganorgyalrongic,Property,Time
12-212,pick up,371,PICK UP,ids,Action/Process,Spatial relations
216_two,two,1498,TWO,zgraggenmadang,Number,Quantity
152_hear,hear,1408,HEAR,bowernpny,Action/Process,Sense perception
god,God,1944,GOD,transnewguineaorg,Person/Thing,Religion and belief
73_vegetable,vegetable,924,VEGETABLES,castrosui,Person/Thing,Food and drink
954_now,now,1376,NOW,wold,Other,Time
17-690,why?,1270,WHY,ids,Other,Cognition
290_week,week,1469,WEEK,abrahammonpa,Person/Thing,Time
260_weep,weep,1839,CRY,sohartmannchin,Action/Process,Emotions and values
46_breakdamage,break (damage),681,DESTROY,satterthwaitetb,Action/Process,Possession
203_vulture,vulture,1185,VULTURE,kraftchadic,Person/Thing,Animals
322_friend,friend,1325,FRIEND,yanglalo,Person/Thing,Social and political relations
204,root,670,ROOT,chenhmongmien,Person/Thing,Agriculture and vegetation
223_rib,rib,801,RIB,robinsonap,Person/Thing,The body
553_rubwithhands,rub (with hands),1449,RUB,yanglalo,Action/Process,Basic actions and technology
969_soon,soon,703,SOON,wold,Other,Time
774_getup,get up,1602,WAKE UP,yanglalo,Action/Process,The body
455_bed,bed,1663,BED,suntb,Person/Thing,The house
358_tokill,to kill,1417,KILL,wold,Action/Process,The body
339_tokill,to kill,1417,KILL,robinsonap,Action/Process,The body
1221_thequarrel,the quarrel,1848,QUARREL,wold,Person/Thing,Social and political relations
1441_tofly,to fly,1441,FLY (MOVE THROUGH AIR),tls,Action/Process,Motion
604_theroot,the root,670,ROOT,wold,Person/Thing,Agriculture and vegetation
671_shield,shield,1064,SHIELD,logos,Person/Thing,Warfare and hunting
732_tofly,to fly,1441,FLY (MOVE THROUGH AIR),wold,Action/Process,Motion
562_pull,pull,1455,PULL,suntb,Action/Process,Basic actions and technology
28_axe,axe,677,AXE,marrisonnaga,Person/Thing,Basic actions and technology
151_lift,LIFT,501,LIFT,hantganbangime,Action/Process,Motion
482_ear,ear,1247,EAR,tls,Person/Thing,The body
860_lizard,lizard,632,LIZARD,naganorgyalrongic,Person/Thing,Animals
539_weak,weak,1601,WEAK,northeuralex,Property,The body
12-260,cover,761,COVER,ids,Action/Process,Spatial relations
288,medicine,1372,MEDICINE,chenhmongmien,Person/Thing,The body
377_pus,pus,1808,PUS,bodtkhobwa,Person/Thing,The body
420_thespoon,the spoon,1378,SPOON,wold,Person/Thing,Food and drink
