Colex_Key,dataset_ID,Form,Colex_IDs,Num_concepts,Concept_names,Semantic_field,Ontological_category
russ1263_batat,ids,batat,"{'410', '159'}",2,"['YAM', 'SWEET POTATO']","['Agriculture and vegetation', 'Agriculture and vegetation']","['Person/Thing', 'Person/Thing']"
russ1263_bedro,ids,bedro,"{'800', '1745'}",2,"['THIGH', 'HIP']","['The body', 'The body']","['Person/Thing', 'Person/Thing']"
russ1263_čto,ids,čto,"{'1236', '1157'}",2,"['WHAT', 'BECAUSE']","['Cognition', 'Cognition']","['Other', 'Other']"
russ1263_den,ids,den,"{'1807', '1225'}",2,"['AFTERNOON', 'DAY (NOT NIGHT)']","['Time', 'Time']","['Person/Thing', 'Person/Thing']"
russ1263_derevo,ids,derevo,"{'906', '1803'}",2,"['TREE', 'WOOD']","['Agriculture and vegetation', 'The physical world']","['Person/Thing', 'Person/Thing']"
russ1263_deržat,ids,deržat,"{'1448', '1477'}",2,"['HOLD', 'KEEP']","['Possession', 'Possession']","['Action/Process', 'Action/Process']"
russ1263_djadja,ids,djadja,"{'1985', '1327', '1984'}",3,"[""FATHER'S BROTHER"", 'UNCLE', ""MOTHER'S BROTHER""]","['Kinship', 'Kinship', 'Kinship']","['Person/Thing', 'Person/Thing', 'Person/Thing']"
russ1263_durnoj,ids,durnoj,"{'1548', '1292'}",2,"['UGLY', 'BAD']","['Emotions and values', 'Emotions and values']","['Property', 'Property']"
russ1263_dérevo,diacl,dérevo,"{'906', '945', '1803'}",3,"['TREE', 'SPEAR', 'WOOD']","['Agriculture and vegetation', 'The physical world', 'Warfare and hunting']","['Person/Thing', 'Person/Thing', 'Person/Thing']"
russ1263_golod,ids,golod,"{'199', '1864'}",2,"['FAMINE', 'HUNGER']","['Food and drink', 'Food and drink']","['Person/Thing', 'Person/Thing']"
russ1263_gorá,diacl,gorá,"{'639', '857'}",2,"['MOUNTAIN', 'STONE']","['The physical world', 'The physical world']","['Person/Thing', 'Person/Thing']"
russ1263_grud,ids,grud,"{'1592', '1402'}",2,"['CHEST', 'BREAST']","['The body', 'The body']","['Person/Thing', 'Person/Thing']"
russ1263_idti,ids,idti,"{'705', '1443', '695'}",3,"['GO UP (ASCEND)', 'WALK', 'GO']","['Motion', 'Motion', 'Motion']","['Action/Process', 'Action/Process', 'Action/Process']"
russ1263_imet,ids,imet,"{'684', '773'}",2,"['OWN', 'HAVE']","['Possession', 'Possession']","['Action/Process', 'Action/Process']"
russ1263_jajco,ids,jajco,"{'797', '744'}",2,"['TESTICLES', 'EGG']","['Food and drink', 'The body']","['Person/Thing', 'Person/Thing']"
russ1263_jams,ids,jams,"{'410', '159'}",2,"['YAM', 'SWEET POTATO']","['Agriculture and vegetation', 'Agriculture and vegetation']","['Person/Thing', 'Person/Thing']"
russ1263_jar',diacl,jar',"{'1537', '1318'}",2,"['SPRINGTIME', 'CHICKEN']","['Animals', 'Time']","['Person/Thing', 'Person/Thing']"
russ1263_jazyk,ids,jazyk,"{'1307', '1205'}",2,"['LANGUAGE', 'TONGUE']","['Speech and language', 'The body']","['Person/Thing', 'Person/Thing']"
russ1263_jeda,ids,jeda,"{'256', '1526'}",2,"['FOOD', 'MEAL']","['Food and drink', 'Food and drink']","['Person/Thing', 'Person/Thing']"
russ1263_ključ,ids,ključ,"{'1472', '2144'}",2,"['KEY', 'SPRING OR WELL']","['The house', 'The physical world']","['Person/Thing', 'Person/Thing']"
russ1263_komar,ids,komar,"{'1509', '95'}",2,"['MOSQUITO', 'SANDFLY']","['Animals', 'Animals']","['Person/Thing', 'Person/Thing']"
russ1263_konec,ids,konec,"{'743', '742'}",2,"['END (OF TIME)', 'END (OF SPACE)']","['Spatial relations', 'Time']","['Person/Thing', 'Person/Thing']"
russ1263_kopát',diacl,kopát',"{'945', '677'}",2,"['SPEAR', 'AXE']","['Basic actions and technology', 'Warfare and hunting']","['Person/Thing', 'Person/Thing']"
russ1263_korá,diacl,korá,"{'2409', '629', '1204'}",3,"['BROWN', 'LEATHER', 'BARK']","['Agriculture and vegetation', 'Clothing and grooming', 'Sense perception']","['Person/Thing', 'Person/Thing', 'Property']"
russ1263_kosa,ids,kosa,"{'1043', '2132'}",2,"['BRAID', 'SICKLE OR SCYTHE']","['Basic actions and technology', 'Clothing and grooming']","['Person/Thing', 'Person/Thing']"
russ1263_koža,ids,koža,"{'763', '629'}",2,"['SKIN', 'LEATHER']","['Clothing and grooming', 'The body']","['Person/Thing', 'Person/Thing']"
russ1263_krasit,ids,krasit,"{'2001', '157'}",2,"['PAINTING', 'DYE']","['Basic actions and technology', 'Clothing and grooming']","['Action/Process', 'Action/Process']"
russ1263_krov',diacl,krov',"{'946', '634'}",2,"['BLOOD', 'MEAT']","['Food and drink', 'The body']","['Person/Thing', 'Person/Thing']"
russ1263_kurica,ids,kurica,"{'1514', '1318'}",2,"['HEN', 'CHICKEN']","['Animals', 'Animals']","['Person/Thing', 'Person/Thing']"
russ1263_kóža,diacl,kóža,"{'629', '2613'}",2,"['LEATHER', 'SKIN (HUMAN)']","['Clothing and grooming', 'The body']","['Person/Thing', 'Person/Thing']"
russ1263_les,ids,les,"{'420', '1803'}",2,"['FOREST', 'WOOD']","['The physical world', 'The physical world']","['Person/Thing', 'Person/Thing']"
russ1263_lëgkij,ids,lëgkij,"{'686', '1052'}",2,"['EASY', 'LIGHT (WEIGHT)']","['Cognition', 'Sense perception']","['Property', 'Property']"
russ1263_lopata,ids,lopata,"{'1176', '1901'}",2,"['SPADE', 'SHOVEL']","['Agriculture and vegetation', 'Agriculture and vegetation']","['Person/Thing', 'Person/Thing']"
russ1263_maslo,ids,maslo,"{'1484', '1245'}",2,"['OIL (ORGANIC SUBSTANCE)', 'BUTTER']","['Food and drink', 'Food and drink']","['Person/Thing', 'Person/Thing']"
russ1263_mat,ids,mat,"{'195', '1216'}",2,"['MAT', 'MOTHER']","['Basic actions and technology', 'Kinship']","['Person/Thing', 'Person/Thing']"
