Colex_Key,dataset_ID,Form,Colex_IDs,Num_concepts,Concept_names,Semantic_field,Ontological_category
tami1289_amaiti,ids,amaiti,"{'3458', '1338'}",2,"['SILENCE', 'PEACE']","['Sense perception', 'Warfare and hunting']","['Person/Thing', 'Person/Thing']"
tami1289_arukē,ids,arukē,"{'1942', '1816'}",2,"['NEAR', 'BESIDE']","['Spatial relations', 'Spatial relations']","['Property', 'Other']"
tami1289_avarkaḷ,ids,avarkaḷ,"{'817', '1130'}",2,"['THEY', 'WE (EXCLUSIVE)']","['Kinship', 'Kinship']","['Other', 'Other']"
tami1289_aṭittal,ids,aṭittal,"{'2133', '175'}",2,"['STRIKE OR BEAT', 'BLOW (OF WIND)']","['Basic actions and technology', 'Motion']","['Action/Process', 'Action/Process']"
tami1289_aṭuppu,ids,aṭuppu,"{'1143', '859'}",2,"['OVEN', 'STOVE']","['Food and drink', 'The house']","['Person/Thing', 'Person/Thing']"
tami1289_eṭuttal,ids,eṭuttal,"{'1749', '371'}",2,"['TAKE', 'PICK UP']","['Possession', 'Spatial relations']","['Action/Process', 'Action/Process']"
tami1289_iruḷ,ids,iruḷ,"{'11', '706'}",2,"['DARKNESS', 'DARK']","['Sense perception', 'The physical world']","['Person/Thing', 'Property']"
tami1289_karaṭumūraṭāṉa,ids,karaṭumūraṭāṉa,"{'1923', '259'}",2,"['ROUGH', 'ROUGH (OF SEA)']","['Sense perception', 'The physical world']","['Property', 'Property']"
tami1289_katti,ids,katti,"{'1352', '3210'}",2,"['KNIFE', 'KNIFE (FOR EATING)']","['Food and drink', 'Food and drink']","['Person/Thing', 'Person/Thing']"
tami1289_kaṭṭutal,ids,kaṭṭutal,"{'1917', '1840'}",2,"['TIE', 'BUILD']","['Basic actions and technology', 'Basic actions and technology']","['Action/Process', 'Action/Process']"
tami1289_kūrmaiyāṉa,ids,kūrmaiyāṉa,"{'372', '1396'}",2,"['POINTED', 'SHARP']","['Sense perception', 'Spatial relations']","['Property', 'Property']"
tami1289_marumakaḷ,ids,marumakaḷ,"{'1642', '2265'}",2,"['NIECE', 'DAUGHTER-IN-LAW (OF MAN)']","['Kinship', 'Kinship']","['Person/Thing', 'Person/Thing']"
tami1289_marumakaṉ,ids,marumakaṉ,"{'2267', '1063'}",2,"['SON-IN-LAW (OF MAN)', 'NEPHEW']","['Kinship', 'Kinship']","['Person/Thing', 'Person/Thing']"
tami1289_maṇ,ids,maṇ,"{'640', '1228'}",2,"['MUD', 'EARTH (SOIL)']","['The physical world', 'The physical world']","['Person/Thing', 'Person/Thing']"
tami1289_maṟuttal,ids,maṟuttal,"{'49', '755'}",2,"['REFUSE', 'DENY']","['Speech and language', 'Speech and language']","['Action/Process', 'Action/Process']"
tami1289_mūḻkutal,ids,mūḻkutal,"{'1088', '3187'}",2,"['SINK (DESCEND)', 'DROWNED']","['Motion', 'The body']","['Action/Process', 'Property']"
tami1289_mūṭivu,ids,mūṭivu,"{'743', '742'}",2,"['END (OF TIME)', 'END (OF SPACE)']","['Spatial relations', 'Time']","['Person/Thing', 'Person/Thing']"
tami1289_namputal,ids,namputal,"{'1890', '1092'}",2,"['BELIEVE', 'HOPE']","['Cognition', 'Emotions and values']","['Action/Process', 'Action/Process']"
tami1289_nilam,ids,nilam,"{'626', '1922'}",2,"['LAND', 'LAND (DESCEND)']","['Motion', 'The physical world']","['Person/Thing', 'Action/Process']"
tami1289_niṉaittal,ids,niṉaittal,"{'707', '1513'}",2,"['REMEMBER', 'THINK (BELIEVE)']","['Cognition', 'Cognition']","['Action/Process', 'Action/Process']"
tami1289_palamāṉa,ids,palamāṉa,"{'1210', '3188'}",2,"['HEAVY', 'MIGHTY OR POWERFUL OR STRONG']","['Emotions and values', 'Sense perception']","['Property', 'Property']"
tami1289_paṉi,ids,paṉi,"{'784', '1977'}",2,"['SNOW', 'DEW']","['The physical world', 'The physical world']","['Person/Thing', 'Person/Thing']"
tami1289_paṟavai,ids,paṟavai,"{'265', '937'}",2,"['FOWL', 'BIRD']","['Animals', 'Animals']","['Person/Thing', 'Person/Thing']"
tami1289_paṭittal,ids,paṭittal,"{'724', '1929'}",2,"['READ', 'STUDY']","['Cognition', 'Speech and language']","['Action/Process', 'Action/Process']"
tami1289_peṇ,ids,peṇ,"{'2260', '962', '2262'}",3,"['FEMALE (OF PERSON)', 'WOMAN', 'FEMALE (OF ANIMAL)']","['Animals', 'Kinship', 'Kinship']","['Property', 'Person/Thing', 'Property']"
